country,chip_value,elementary_wage,theta,alpha,mpl,gdp,employment,n_years,freedom_score,hdi
ISL,1.9243452449381615,7.975541907728816,8.564065068004016,0.2869359485534834,2.675032230672443,21280.912890625,0.2059015959501266,5,72.8,0.964
ISR,2.5827051851839293,9.001427039365279,0.2869303991210974,0.6882230706364654,4.590606924897408,352644.5625,4.309913873672485,2,69.9,0.921
ITA,4.3396484781161675,8.705014647994282,0.4990873913500759,0.5204087427716079,5.514350932671029,2781686.5,25.292683919270868,3,60.9,0.905
JOR,2.313879202347943,1.7738419203136764,1.3037478474007425,0.5718926334865309,3.656377772277003,106666.0328125,2.39039912223816,5,59.4,0.751
KEN,0.25876909715390317,0.27690217032864206,0.934514514085543,0.6723645629645025,1.4699522324437004,265377.3125,18.3412017822266,1,54.8,0.626
KOR,4.543424546690143,10.29574924032539,0.4440423489710687,0.7465474709372493,8.640853660918628,2732636.7,27.25776748657226,5,74.0,0.928
LKA,1.1986088467076457,0.5220490447307917,2.4842843014732545,0.612596881939771,2.3922900899599924,316866.74375,8.091070175170897,5,49.4,0.777
LSO,0.39675049810034035,0.7124462090747354,0.5568848469495068,0.674754093917669,1.0448536509426118,5498.25341796875,0.483975946903229,1,54.1,0.547
LTU,2.669184894676526,3.451920248976649,0.7732463968331333,0.5948182836095085,4.189861835993701,104527.4765625,1.41747689247131,1,74.6,0.888
LUX,3.922798116632744,16.162729390068236,0.2427064156034962,0.5004904360486864,6.631534282627675,59454.07421875,0.446868300437927,1,79.5,0.922
LVA,3.1369029923421503,4.618201998347689,0.6792476798252823,0.5341468450785547,4.792490682744951,60522.171875,0.906003475189209,1,71.4,0.881
MDA,1.2328188633972512,0.8884320034118062,1.4013731906459046,0.6825037307422399,1.9625853654522618,43196.090625,1.0081748843193052,5,,0.784
MDV,2.321751910772639,2.4094334682068648,0.9636090564063262,0.7002056980261231,3.8576452560208336,10996.2041015625,0.304450362920761,1,48.3,0.764
MEX,1.854105862964128,1.3760785181816053,1.3479583938342046,0.6058908917836098,3.0468369530337016,2531339.35,54.40931701660158,5,61.3,0.783
MLI,0.14649039442906941,0.25073603238629233,0.5860696536647229,0.52408134753317,0.5110503456162526,50090.661458333336,6.394583543141681,3,52.6,0.417
MLT,1.3950707279616807,8.081853497108455,0.17261767099104341,0.3191614013846778,2.258629689925623,21247.095703125,0.240593671798706,1,66.8,0.917
MMR,0.7064620553915316,0.5520229782691802,1.2985531779731148,0.285233827771362,1.1023032217077227,416358.40625,22.268063227335603,3,43.7,0.606
MNG,1.540499630687901,0.9900258536556379,1.5574194249000815,0.6361773860127118,2.15029419251882,43952.5984375,1.3711735248565682,5,62.6,0.742
MUS,2.2181007019964065,2.0022552155854925,1.146529940316765,0.6434633930418142,4.2395331929643385,32294.7314453125,0.5631318986415863,4,75.0,0.794
NAM,0.6456627889957708,1.0127978980288326,0.6375040768275665,0.4110662930008592,2.276300643486591,27850.6953125,0.7257040143013,1,58.7,0.649
NLD,3.5487595805544934,12.700055495456143,0.27942866720733445,0.5594490505512039,5.986048595329901,1149723.75,9.46382331848145,1,78.2,0.953
NOR,4.897842681738478,25.123449016836844,0.19495104666784077,0.5533439663618207,6.382118288002505,509284.78125,2.79120755195618,1,78.3,0.967
PAK,0.13274065951288938,0.4970851642894634,0.2682808198485764,0.9286223896251752,0.2476117017789171,1265356.0833333333,62.08193461100263,3,49.1,0.544
PAN,3.1314214708925716,3.242868887053027,0.9300493798975793,0.5399166900271777,4.721308486973295,137229.234375,1.8002301692962661,5,65.5,0.835
PER,1.7288116428813836,1.6167162833857944,1.075797944071669,0.6783238010430527,3.28692457394042,465722.225,17.8748394012451,5,65.9,0.79
PHL,1.2745477954278763,1.3524177706761615,0.9409150278287619,0.706623750774764,1.907583437585447,1031423.175,41.9684799194336,5,60.6,0.714
PRT,1.570373138539353,4.761406968391408,0.3308874851626723,0.2579605733434671,2.132557600394027,351186.8375,5.00048236846924,5,70.5,0.883
PRY,1.276133184617891,1.2406237177549464,37.67012753832405,0.4845899415285376,2.2320450004415933,97376.134375,2.821149778366088,5,65.2,0.747
RUS,2.9009246629925203,2.0001274263102906,1.4528592170245935,0.5312113113189016,5.224442224488911,5430044.0,71.760627746582,2,51.6,0.826
RWA,0.3135361470529311,0.26902632930843884,1.1670130660190208,0.6329910374911233,0.8115038679364431,38700.271484375,5.39691019058228,2,54.8,0.57
SDN,0.23808335760420282,1.5418783982738984,0.15441124142522025,0.7862035837681333,0.17813713562359543,147548.6875,10.7616567611694,1,35.3,0.516
SEN,1.2580522054657286,0.6126112767166568,2.008447242448745,0.5872161832433428,2.351168308944651,67295.337890625,6.969634771347045,2,56.4,0.526
SLV,0.5773547937804886,1.4321791539830233,0.40506859692920133,0.9188497987615464,0.9647467516874566,66332.5791015625,2.931152999401095,4,56.6,0.674
SRB,2.353609536701187,2.6610384926973767,0.8844703085506431,0.6719255837275732,3.5081252442094804,127203.953125,2.821772813797,1,64.4,0.826
SVK,3.3086311776065274,4.217031004972772,19.196425375978446,0.5795085174506263,5.280156987650199,170268.271875,2.431959819793704,5,68.4,0.873
SVN,3.8338546938715017,6.927302997521533,0.5534411725953358,0.9141011915456636,6.247642972297326,79258.3515625,1.01246070861816,1,68.3,0.926
SWE,3.8648753379287615,14.55663405503671,0.26749536615028546,0.5507019368047974,5.382307984873716,603918.546875,5.235456109046935,4,77.9,0.959
SWZ,2.029228643254499,4.762601995528031,0.42607562948990824,0.6637371589845756,1.2663510431994642,10647.0283203125,0.258742988109589,1,56.4,0.695
THA,0.9604230017119629,1.300362018191769,0.7424229029964857,0.8825821284687526,2.0913478063002793,1470675.225,37.952979278564456,5,60.6,0.792
TUN,1.2184949528885978,0.9278145637747903,1.313295781789824,0.6471651121363128,2.1316997483234723,159617.09375,3.96775531768799,1,49.1,0.745
TUR,2.176929784854296,1.7898947787361994,1.230470738815867,0.57833801221034,3.3736209850814816,2464848.5,28.63239555358888,5,56.1,0.853
TZA,0.1534977887643539,0.7714834273748054,0.19896446678922755,0.8716411069162056,0.2557457349769357,191590.015625,22.495922088623,1,,0.554
UGA,0.16887360431215226,0.3226452667003381,0.5186876933756146,0.859281216020133,0.7205761687552508,123688.37109375,16.6340136528015,2,51.3,0.578
UKR,1.2607630293550494,0.00948934105012061,132.8609671310133,0.18796173619394332,1.8911445440325743,685092.625,16.549524307251,1,,0.772
URY,1.7240382131113727,3.4766677427342434,0.495863956485335,0.45290688567554,3.085472273300222,88474.546875,1.512827217578885,2,70.2,0.852
USA,3.64449947563165,18.654484246527467,0.19546273962364719,0.5941988487143088,5.150468149147674,23071468.0,161.27373046875022,5,70.2,0.93
VNM,1.0172610908465782,1.0732942839992428,0.948810307509906,0.5833139242506373,1.4906598604815708,1190803.1,54.1203941345215,5,65.2,0.764
ZAF,0.4220202665318056,1.5371518388895757,0.2603900851320716,0.9725495681619009,0.6131712733167,791575.84375,18.664543151855497,2,57.3,0.737
ZMB,0.7419249637106724,0.6887545044807103,1.1386812521874397,0.7031004230406964,1.4020601700019462,60340.01640625,5.33702621459961,5,50.9,0.589
